dayofweek,date,holiday_category,holiday_type,holiday_code,holiday,notes,ISO_date,rollup_date,Regional,RGR,lower_window,upper_window,prior_scale
Monday,December 03 2012,R,Regional,Regional,Westland Anniversary Day,Monday nearest to December 1 (Greymouth),3/12/2012, 02/12/2012,1,RGR West Coast,-1,0,1
Monday,December 03 2012,R,Regional,Regional,Chatham Islands Anniversary Day,Monday nearest to November 30,3/12/2012, 02/12/2012,1,,-1,0,1
Tuesday,December 25 2012,X,National,Christmas Day,Christmas Day,No Notes,25/12/2012, 23/12/2012,0,,-1,0,2
Wednesday,December 26 2012,BD,National,Boxing Day,Boxing Day,Celebrated on 26th December. Typically it will be moved and celebrated on the next weekday if 26 December is a Saturday or Sunday,26/12/2012, 30/12/2012,0,,-1,0,1
Tuesday,January 01 2013,NY,National,New Years Day,New Years Day,No Notes,1/01/2013, 06/01/2013,0,,-1,0,2
Wednesday,January 02 2013,N,National,New Years Day,Day after New Years Day,No Notes,2/01/2013, 06/01/2013,0,,-1,0,1
Monday,January 21 2013,R,Regional,Regional,Wellington Anniversary Day,Monday closest to 22 January,21/01/2013, 20/01/2013,1,RGR Wellington City |  RGR Wellington Region |  RGR Wairarapa,-1,0,1
Monday,January 21 2013,R,Regional,Regional,Southland Anniversary Day,Varies - determined by local custom and tourist season.,21/01/2013, 20/01/2013,1,RGR Southland,-1,0,1
Monday,January 28 2013,R,Regional,Regional,Auckland Anniversary Day,Monday nearest to January 29 (Auckland Anniversary Day),28/01/2013, 27/01/2013,1,RGR Auckland Central | RGR Auckland East | RGR Auckland North | RGR Auckland South |  RGR Auckland West |  RGR Hamilton |  RGR Waikato |  RGR Taupo |  RGR Tauranga |  RGR BOP Region |  RGR Coromandel West Bay of Plenty |  RGR Manawatu |  RGR Counties,-1,0,1
Monday,February 04 2013,R,Regional,Regional,Nelson Anniversary Day,Monday nearest to February 1,4/02/2013, 03/02/2013,1,RGR Nelson,-1,0,1
Wednesday,February 06 2013,W,National,Waitangi Day,Waitangi Day,always commemorated on the exact date,6/02/2013, 10/02/2013,0,,-1,0,2
Monday,March 11 2013,R,Regional,Regional,Taranaki Anniversary Day,Second Monday in March to avoid Easter,11/03/2013, 10/03/2013,1,RGR Taranaki,-1,0,1
Monday,March 25 2013,R,Regional,Regional,Otago Anniversary Day,Monday nearest to the actual day,25/03/2013, 24/03/2013,1,RGR Otago,-1,0,1
Friday,March 29 2013,N,National,Good Friday,Good Friday,The Friday before Easter Sunday,29/03/2013, 31/03/2013,0,,-1,0,1
Monday,April 01 2013,N,National,Easter Monday,Easter Monday,Monday after Easter Sunday,1/04/2013, 31/03/2013,0,,-1,0,1
Thursday,April 25 2013,R,Regional,Regional,Anzac Day,No Notes,25/04/2013, 28/04/2013,0,,-1,0,1
Sunday,May 12 2013,R,Regional,Regional,Mother's Day,2nd Sunday in May. Not a public holiday.,12/05/2013, 12/05/2013,0,,-1,0,1
Monday,June 03 2013,N,National,Queen's Birthday,Queen's Birthday,The first Monday in June,3/06/2013, 02/06/2013,0,,-1,0,1
Sunday,September 01 2013,R,Regional,Regional,Father's Day,1st Sunday in September. Not a public holiday.,1/09/2013, 01/09/2013,0,,-1,0,1
Monday,September 23 2013,R,Regional,Regional,Dominion Day,Fourth Monday in September,23/09/2013, 22/09/2013,1,RGR Canterbury,-1,0,1
Friday,October 25 2013,R,Regional,Regional,Hawkes Bay Anniversary Day,Friday before Labour Day,25/10/2013, 27/10/2013,1,RGR Hawkes Bay,-1,0,1
Monday,October 28 2013,N,National,Labour Day,Labour Day,The fourth Monday in October,28/10/2013, 27/10/2013,0,,-1,0,1
Monday,November 04 2013,R,Regional,Regional,Marlborough Anniversary Day,First Monday after Labour Day,4/11/2013, 03/11/2013,1,RGR Nelson,-1,0,1
Friday,November 15 2013,R,Regional,Regional,Christchurch Show Day,Northern and Central Canterbury. Second Friday after the first Tuesday in November,15/11/2013, 17/11/2013,1,RGR Christchurch City,-1,0,1
Monday,December 02 2013,R,Regional,Regional,Westland Anniversary Day,Monday nearest to December 1 (Greymouth),2/12/2013, 01/12/2013,1,RGR West Coast,-1,0,1
Monday,December 02 2013,R,Regional,Regional,Chatham Islands Anniversary Day,Monday nearest to November 30,2/12/2013, 01/12/2013,1,,-1,0,1
Wednesday,December 25 2013,X,National,Christmas Day,Christmas Day,No Notes,25/12/2013, 29/12/2013,0,,-1,0,2
Thursday,December 26 2013,BD,National,Boxing Day,Boxing Day,Celebrated on 26th December. Typically it will be moved and celebrated on the next weekday if 26 December is a Saturday or Sunday,26/12/2013, 29/12/2013,0,,-1,0,1
Wednesday,January 01 2014,NY,National,New Years Day,New Years Day,No Notes,1/01/2014, 05/01/2014,0,,-1,0,2
Thursday,January 02 2014,N,National,New Years Day,Day after New Years Day,No Notes,2/01/2014, 05/01/2014,0,,-1,0,1
Monday,January 20 2014,R,Regional,Regional,Wellington Anniversary Day,Monday closest to 22 January,20/01/2014, 19/01/2014,1,RGR Wellington City |  RGR Wellington Region |  RGR Wairarapa,-1,0,1
Monday,January 27 2014,R,Regional,Regional,Auckland Anniversary Day,Monday nearest to January 29 (Auckland Anniversary Day),27/01/2014, 26/01/2014,1,RGR Auckland Central | RGR Auckland East | RGR Auckland North | RGR Auckland South |  RGR Auckland West |  RGR Hamilton |  RGR Waikato |  RGR Taupo |  RGR Tauranga |  RGR BOP Region |  RGR Coromandel West Bay of Plenty |  RGR Manawatu |  RGR Counties,-1,0,1
Monday,February 03 2014,R,Regional,Regional,Nelson Anniversary Day,Monday nearest to February 1,3/02/2014, 02/02/2014,1,RGR Nelson,-1,0,1
Thursday,February 06 2014,W,National,Waitangi Day,Waitangi Day,always commemorated on the exact date,6/02/2014, 09/02/2014,0,,-1,0,2
Monday,March 10 2014,R,Regional,Regional,Taranaki Anniversary Day,Second Monday in March to avoid Easter,10/03/2014, 09/03/2014,1,RGR Taranaki,-1,0,1
Monday,March 24 2014,R,Regional,Regional,Otago Anniversary Day,Monday nearest to the actual day,24/03/2014, 23/03/2014,1,RGR Otago,-1,0,1
Friday,April 18 2014,N,National,Good Friday,Good Friday,The Friday before Easter Sunday,18/04/2014, 20/04/2014,0,,-1,0,1
Monday,April 21 2014,N,National,Easter Monday,Easter Monday,Monday after Easter Sunday,21/04/2014, 20/04/2014,0,,-1,0,1
Tuesday,April 22 2014,R,Regional,Regional,Southland Anniversary Day,Varies - determined by local custom and tourist season.,22/04/2014, 27/04/2014,1,RGR Southland,-1,0,1
Friday,April 25 2014,N,National,Anzac Day,Anzac Day,No Notes,25/04/2014, 27/04/2014,0,,-1,0,1
Sunday,May 11 2014,R,Regional,Regional,Mother's Day,2nd Sunday in May. Not a public holiday.,11/05/2014, 11/05/2014,0,,-1,0,1
Monday,June 02 2014,N,National,Queen's Birthday,Queen's Birthday,The first Monday in June,2/06/2014, 01/06/2014,0,,-1,0,1
Sunday,September 07 2014,R,Regional,Regional,Father's Day,1st Sunday in September. Not a public holiday.,7/09/2014, 07/09/2014,0,,-1,0,1
Monday,September 22 2014,R,Regional,Regional,Dominion Day,Fourth Monday in September,22/09/2014, 21/09/2014,1,RGR Canterbury,-1,0,1
Friday,October 24 2014,R,Regional,Regional,Hawkes Bay Anniversary Day,Friday before Labour Day,24/10/2014, 26/10/2014,1,RGR Hawkes Bay,-1,0,1
Monday,October 27 2014,N,National,Labour Day,Labour Day,The fourth Monday in October,27/10/2014, 26/10/2014,0,,-1,0,1
Monday,November 03 2014,R,Regional,Regional,Marlborough Anniversary Day,First Monday after Labour Day,3/11/2014, 02/11/2014,1,RGR Nelson,-1,0,1
Friday,November 14 2014,R,Regional,Regional,Christchurch Show Day,Northern and Central Canterbury. Second Friday after the first Tuesday in November,14/11/2014, 16/11/2014,1,RGR Christchurch City,-1,0,1
Monday,December 01 2014,R,Regional,Regional,Westland Anniversary Day,Monday nearest to December 1 (Greymouth),1/12/2014, 07/12/2014,1,RGR West Coast,-1,0,1
Monday,December 01 2014,R,Regional,Regional,Chatham Islands Anniversary Day,Monday nearest to November 30,1/12/2014, 07/12/2014,1,,-1,0,1
Thursday,December 25 2014,X,National,Christmas Day,Christmas Day,No Notes,25/12/2014, 28/12/2014,0,,-1,0,2
Friday,December 26 2014,BD,National,Boxing Day,Boxing Day,Celebrated on 26th December. Typically it will be moved and celebrated on the next weekday if 26 December is a Saturday or Sunday,26/12/2014, 28/12/2014,0,,-1,0,1
Thursday,January 01 2015,NY,National,New Years Day,New Years Day,No Notes,1/01/2015, 04/01/2015,0,,-1,0,2
Friday,January 02 2015,N,National,New Years Day,Day after New Years Day,No Notes,2/01/2015, 04/01/2015,0,,-1,0,1
Monday,January 19 2015,R,Regional,Regional,Wellington Anniversary Day,Monday closest to 22 January,19/01/2015, 18/01/2015,1,RGR Wellington City |  RGR Wellington Region |  RGR Wairarapa,-1,0,1
Monday,January 26 2015,R,Regional,Regional,Auckland Anniversary Day,Monday nearest to January 29 (Auckland Anniversary Day),26/01/2015, 25/01/2015,1,RGR Auckland Central | RGR Auckland East | RGR Auckland North | RGR Auckland South |  RGR Auckland West |  RGR Hamilton |  RGR Waikato |  RGR Taupo |  RGR Tauranga |  RGR BOP Region |  RGR Coromandel West Bay of Plenty |  RGR Manawatu |  RGR Counties,-1,0,1
Monday,February 02 2015,R,Regional,Regional,Nelson Anniversary Day,Monday nearest to February 1,2/02/2015, 01/02/2015,1,RGR Nelson,-1,0,1
Friday,February 06 2015,W,National,Waitangi Day,Waitangi Day,always commemorated on the exact date,6/02/2015, 08/02/2015,0,,-1,0,2
Monday,March 09 2015,R,Regional,Regional,Taranaki Anniversary Day,Second Monday in March,9/03/2015, 08/03/2015,1,RGR Taranaki,-1,0,1
Monday,March 23 2015,R,Regional,Regional,Otago Anniversary Day,Monday nearest to the actual day,23/03/2015, 29/03/2015,1,RGR Otago,-1,0,1
Friday,April 03 2015,N,National,Good Friday,Good Friday,The Friday before Easter Sunday,3/04/2015, 05/04/2015,0,,-1,0,1
Monday,April 06 2015,N,National,Easter Monday,Easter Monday,Monday after Easter Sunday,6/04/2015, 05/04/2015,0,,-1,0,1
Tuesday,April 07 2015,R,Regional,Regional,Southland Anniversary Day,Observed on Easter Tuesday,7/04/2015, 12/04/2015,1,RGR Southland,-1,0,1
Monday,April 27 2015,N,National,Anzac Day,Anzac Day Holiday,No Notes,27/04/2015, 26/04/2015,0,,-1,0,1
Sunday,May 10 2015,R,Regional,Regional,Mother's Day,2nd Sunday in May. Not a public holiday,10/05/2015, 10/05/2015,0,,-1,0,1
Monday,June 01 2015,N,National,Queen's Birthday,Queen's Birthday,The first Monday in June,1/06/2015, 31/05/2015,0,,-1,0,1
Sunday,September 06 2015,R,Regional,Regional,Father's Day,1st Sunday in September. Not a public holiday,6/09/2015, 07/06/2015,0,,-1,0,1
Monday,September 28 2015,R,Regional,Regional,Dominion Day,Fourth Monday in September,28/09/2015, 27/09/2015,1,,-1,0,1
Friday,October 23 2015,R,Regional,Regional,Hawkes Bay Anniversary Day,Friday before Labour Day,23/10/2015, 25/10/2015,1,RGR Hawkes Bay,-1,0,1
Monday,October 26 2015,N,National,Labour Day,Labour Day,The fourth Monday in October,26/10/2015, 25/10/2015,0,,-1,0,1
Monday,November 02 2015,R,Regional,Regional,Marlborough Anniversary Day,First Monday after Labour Day,2/11/2015, 01/11/2015,1,RGR Nelson,-1,0,1
